State,District,Tehsil,Block,GramPanchayat,NyayPanchayat,Village,Latitude,Longitude
Andhra Pradesh_2024,NTR,A.Konduru,,Kambampadu,A.Konduru,263814,16.98805,80.6578
Andhra Pradesh_2024,NTR,A.Konduru,,Konduru,A.Konduru,264417,16.95946,80.64791
Andhra Pradesh_2024,Sri Sathya Sai,Rolla,,Rolla,Rolla,267535,13.84395,77.10015
Andhra Pradesh_2024,Sri Sathya Sai,Rolla,,Rolla,Rolla,267535,13.84393,77.10015
Andhra Pradesh_2024,Sri Sathya Sai,Rolla,,Rolla,Rolla,267535,13.8498,77.10159
Andhra Pradesh_2024,NTR,G.Konduru,,Koduru,G.Konduru,264200,16.68514,80.58113
Andhra Pradesh_2024,Sri Sathya Sai,Dharmavaram,M,Gotlur,Dharmavaram,263030,14.42959,77.71417
Andhra Pradesh_2024,Sri Sathya Sai,Rolla,,Ratnagiri,Rolla,267416,13.80679,77.12671
Andhra Pradesh_2024,Sri Sathya Sai,Rolla,,Ratnagiri,Rolla,267416,13.8068,77.12671
Andhra Pradesh_2024,Sri Sathya Sai,Rolla,,Ratnagiri,Rolla,267416,13.80676,77.12673
Andhra Pradesh_2024,NTR,G.Konduru,,Kuntamukkala,G.Konduru,264801,16.72084,80.62186
Andhra Pradesh_2024,Sri Sathya Sai,Bukkapatnam,Gunipalli,Gunipalle,Bukkapatnam,263207,14.27524,77.90186
Andhra Pradesh_2024,Sri Sathya Sai,Dharmavaram,Kh,Kunuthuru(Rural),Dharmavaram,264809,14.43089,77.70672
Andhra Pradesh_2024,Sri Sathya Sai,Chennekothapalle,,Nagasamudram,Chennekothapalle,265847,14.31377,77.63311
Andhra Pradesh_2024,Sri Sathya Sai,Chennekothapalle,,Nagasamudram,Chennekothapalle,265847,14.3135,77.6328
Andhra Pradesh_2024,Sri Sathya Sai,Agali,,Agali,Agali,260631,13.7968,77.04879
Andhra Pradesh_2024,Sri Sathya Sai,Agali,,Agali,Agali,260631,13.79683,77.0488
Andhra Pradesh_2024,Sri Sathya Sai,Bukkapatnam,Pamdurthi,Pamudurthi,Bukkapatnam,266410,14.27185,77.96976
Andhra Pradesh_2024,Sri Sathya Sai,Ramagiri,,Kuntimaddi,Ramagiri,264804,14.32949,77.59092
Andhra Pradesh_2024,Sri Sathya Sai,Agali,,Agali,Agali,260631,13.79682,77.04878
Andhra Pradesh_2024,Sri Sathya Sai,Ramagiri,,Kuntimaddi,Ramagiri,264804,14.32985,77.59108
Andhra Pradesh_2024,Sri Sathya Sai,Dharmavaram,Mg,Pothulanagepalle,Dharmavaram,267023,14.38934,77.70794
Andhra Pradesh_2024,Y.S.R. Kadapa,Duvvur,,Duvvur,Duvvur,262556,14.91374,78.61845
Andhra Pradesh_2024,NTR,Mylavaram,,Chandrala,Mylavaram,261693,16.76849,80.71517
Andhra Pradesh_2024,Y.S.R. Kadapa,Sri Avadhutha Kasinayana,Sri Avadhutha Kasinayana,Itikulapadu,Sri Avadhutha Kasinayana,263390,14.91925,78.9046
Andhra Pradesh_2024,Sri Sathya Sai,Bukkapatnam,Kothakota,Kothakota,Bukkapatnam,264566,14.31043,77.92726
Andhra Pradesh_2024,Sri Sathya Sai,Ramagiri,,Ganthimarri,Ramagiri,262786,14.36457,77.60187
Andhra Pradesh_2024,Sri Sathya Sai,Bukkapatnam,Marala,Marala,Bukkapatnam,265343,14.31055,77.92724
Andhra Pradesh_2024,Sri Sathya Sai,Ramagiri,,Ganthimarri,Ramagiri,262786,14.36471,77.60218
